ID	Species	Sex	Population
TT95866	Alauda razae	Female	Raso
TT95867	Alauda razae	Female	Raso
TT95871	Alauda razae	Female	Raso
TT95873	Alauda razae	Male	Raso
TT95875	Alauda razae	Male	Raso
TT95876	Alauda razae	Male	Raso
TT95878	Alauda razae	Male	Raso
TT95879	Alauda razae	Female	Raso
TT95880	Alauda razae	Male	Raso
TT95881	Alauda razae	Female	Raso
TT95882	Alauda razae	Male	Raso
TT95884	Alauda razae	Female	Raso
TT95885	Alauda razae	Male	Raso
TT95887	Alauda razae	Female	Raso
TT95888	Alauda razae	Female	Raso
TT95889	Alauda razae	Male	Raso
246	Alauda razae	Male	Raso
95694	Alauda razae	Female	Raso
Aarv-444-IT	Alauda arvensis	Female	IT
Aarv-249-IT	Alauda arvensis	Female	IT
Aarv-252-IT	Alauda arvensis	Female	IT
Aarv-441-IT	Alauda arvensis	Female	IT
Aarv-460-IT	Alauda arvensis	Female	IT
Aarv-389-IT	Alauda arvensis	Male	IT
Aarv-449-IT	Alauda arvensis	Male	IT
Aarv-939-IT	Alauda arvensis	Male	IT
Aarv-052-NL	Alauda arvensis	Female	NL
Aarv-475-NL	Alauda arvensis	Female	NL
Aarv-504-NL	Alauda arvensis	Female	NL
Aarv-621-NL	Alauda arvensis	Female	NL
Aarv-043-NL	Alauda arvensis	Male	NL
Aarv-313-NL	Alauda arvensis	Male	NL
Aarv-558-NL	Alauda arvensis	Male	NL
Aarv-618-NL	Alauda arvensis	Male	NL
19	Alauda arvensis	Female	IT
21	Alauda arvensis	Male	IT
